main_group	env_type	cobo_simon_habitat	parameter	value	term_ids	term_labels
Aquatic	sediment_marine_deepsubsurface	marine	Gradients	low		
Aquatic	sediment_marine_deepsubsurface	marine	Nutrients	low		
Aquatic	sediment_marine_deepsubsurface	marine	Organic	low		
Aquatic	sediment_marine_deepsubsurface	marine	Pressure	high		
Aquatic	sediment_marine_deepsubsurface	marine	Salinity	high		
Aquatic	sediment_marine_deepsubsurface	marine	Structural	medium		
Aquatic	sediment_marine_deepsubsurface	marine	Temperature	high		
Aquatic	sediment_marine_deepsubsurface	marine	Water	high		
Aquatic	sediment_marine_deepsubsurface	marine	pH	high		
Aquatic	sediment_marine_deepsubsurface	marine	salinity variability	small		
Aquatic	sediment_marine_deepsubsurface	marine	temp variability	low		
Aquatic	sediment_marine_deepsubsurface	marine	water variability	permanently wet		
Aquatic	sediment_marine_hot	therm	Salinity	high	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hot	therm	Structural	medium	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hot	therm	Temperature	high	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hot	therm	Water	high	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hot	therm	pH	high	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hot	therm	salinity variability	small	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hot	therm	temp variability	medium	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hot	therm	water variability	permanently wet	ENVO:03000033|PATO:0001305	marine sediment|increased temperature
Aquatic	sediment_marine_hydrothermal	therm	Gradients	high	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	Nutrients	medium	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	Organic	low	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	Pressure	high	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	Salinity	high	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	Structural	medium	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	Temperature	high	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	Water	high	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	pH	high	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	salinity variability	small	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	temp variability	high	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_hydrothermal	therm	water variability	permanently wet	ENVO:03000033|ENVO:00000215	marine sediment|hydrothermal vent
Aquatic	sediment_marine_organic	marine	Gradients	high	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	Nutrients	high	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	Organic	high	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	Salinity	high	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	Structural	medium	ENVO:03000033|ENVO:01000155	marine sediment|organic material
Aquatic	sediment_marine_organic	marine	Water	high	ENVO:03000033|ENVO:01000155	marine sediment|organic material
