prego_id	rank	taxon_id	taxon_label	prego_score	direct_flag	channels	corroborated_by
BTO:0000142	18	NCBITaxon:1214102	Mycolicibacterium fortuitum subsp. fortuitum DSM 46621 = ATCC 6841 = JCM 6387	3	TRUE	annotated_genomes_isolates	
BTO:0000142	19	NCBITaxon:1328	Streptococcus anginosus	3	TRUE	annotated_genomes_isolates	
BTO:0000142	20	NCBITaxon:1348	Streptococcus parauberis	3	TRUE	annotated_genomes_isolates	
BTO:0000142	21	NCBITaxon:1392869	Escherichia coli K1	3	TRUE	annotated_genomes_isolates	
BTO:0000142	22	NCBITaxon:1639	Listeria monocytogenes	3	TRUE	annotated_genomes_isolates	
BTO:0000142	23	NCBITaxon:1680	Bifidobacterium adolescentis	3	TRUE	annotated_genomes_isolates	
BTO:0000142	24	NCBITaxon:1683	Bifidobacterium angulatum	3	TRUE	annotated_genomes_isolates	
BTO:0000142	25	NCBITaxon:169963	Listeria monocytogenes EGD-e	3	TRUE	annotated_genomes_isolates	
BTO:0000144	1	NCBITaxon:1313	Streptococcus pneumoniae	3	TRUE	annotated_genomes_isolates	
BTO:0000146	1	NCBITaxon:1329902	Mannheimia haemolytica MhBrain2012	3	TRUE	annotated_genomes_isolates	
BTO:0000149	1	NCBITaxon:1157946	Streptococcus salivarius PS4	3	TRUE	annotated_genomes_isolates	
BTO:0000149	2	NCBITaxon:1193128	Parascardovia denticolens IPLA 20019	3	TRUE	annotated_genomes_isolates	
BTO:0000149	3	NCBITaxon:1199187	Mycobacterium avium subsp. paratuberculosis MAP4	3	TRUE	annotated_genomes_isolates	
BTO:0000149	4	NCBITaxon:1271862	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921	3	TRUE	annotated_genomes_isolates	
BTO:0000149	5	NCBITaxon:1590	Lactiplantibacillus plantarum	3	TRUE	annotated_genomes_isolates	
BTO:0000149	6	NCBITaxon:161879	Corynebacterium kroppenstedtii	3	TRUE	annotated_genomes_isolates	
BTO:0000149	7	NCBITaxon:1679	Bifidobacterium longum subsp. longum	3	TRUE	annotated_genomes_isolates	
BTO:0000149	8	NCBITaxon:1682	Bifidobacterium longum subsp. infantis	3	TRUE	annotated_genomes_isolates	
BTO:0000149	9	NCBITaxon:205913	Bifidobacterium longum DJO10A	3	TRUE	annotated_genomes_isolates	
BTO:0000149	10	NCBITaxon:28026	Bifidobacterium pseudocatenulatum	3	TRUE	annotated_genomes_isolates	
BTO:0000149	11	NCBITaxon:391904	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	3	TRUE	annotated_genomes_isolates	
BTO:0000149	12	NCBITaxon:439842	Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188	3	TRUE	annotated_genomes_isolates	
