study_gold_id	path_count	paths
Gs0056652	4	Engineered > Bioremediation > Terephthalate > Wastewater|Engineered > Bioremediation > Terephthalate > Wastewater > Activated sludge|Engineered > Bioremediation > Terephthalate > Wastewater > Bioreactor|Engineered > Wastewater > Industrial wastewater
Gs0056653	2	Host-associated > Arthropoda: Insects > Digestive system > Gut|Host-associated > Arthropoda: Insects > Digestive system > Hindgut > Paunch/P3 segment
Gs0056655	2	Environmental > Aquatic > Marine > Oceanic|Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0058577	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Alkaline
Gs0058578	1	Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0058579	1	Environmental > Aquatic > Marine > Oceanic
Gs0058624	1	Environmental > Aquatic > Marine > Oceanic
Gs0058635	1	Engineered > Wastewater > Nutrient removal > Dissolved organics (aerobic) > Activated sludge
Gs0058665	1	Environmental > Aquatic > Marine
Gs0058667	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Athalassic
Gs0058670	3	Environmental > Aquatic > Non-marine Saline and Alkaline > Saline|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Epilimnion|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Sediment
Gs0059069	1	Host-associated > Invertebrates > Cnidaria
Gs0059070	2	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Oceanic
Gs0059071	1	Environmental > Aquatic > Marine
Gs0059072	1	Engineered > Solid waste
Gs0059073	1	Engineered > WWTP > Wastewater
Gs0059074	1	Environmental > Terrestrial > Soil > Agricultural land
Gs0059646	2	Environmental > Terrestrial > Soil|Environmental > Terrestrial > Soil > Sand > Desert
Gs0059653	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0059655	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0059657	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0059660	1	Environmental > Aquatic > Freshwater > Lentic > Limnetic zone
Gs0059808	1	Environmental > Aquatic > Freshwater > Lentic > Limnetic zone
Gs0059810	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
