canonical_path	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	leaf_label	depth	gold_node_count	organism_count	study_count	biosample_count	total_assertions	gold_node_ids
Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Activated sludge	Engineered	Wastewater	Nutrient removal	Biological phosphorus removal	Activated sludge	Activated sludge	5	1	1	0	0	1	gold.ecosystem:4262
Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Bioreactor	Engineered	Wastewater	Nutrient removal	Biological phosphorus removal	Bioreactor	Bioreactor	5	1	1	0	0	1	gold.ecosystem:4263
Engineered > Wastewater > Nutrient removal > Nitrogen removal > Anammox	Engineered	Wastewater	Nutrient removal	Nitrogen removal	Anammox	Anammox	5	1	1	0	0	1	gold.ecosystem:4256
Environmental > Air > Indoor Air > Composting facility	Environmental	Air	Indoor Air	Composting facility		Composting facility	4	2	1	0	0	1	gold.ecosystem:7107|gold.ecosystem:7108
Environmental > Aquatic > Acidic	Environmental	Aquatic	Acidic			Acidic	3	3	1	0	0	1	gold.ecosystem:7975|gold.ecosystem:8506|gold.ecosystem:8507
Environmental > Aquatic > Acidic > Acidic hypersaline lake	Environmental	Aquatic	Acidic	Acidic hypersaline lake		Acidic hypersaline lake	4	2	1	0	0	1	gold.ecosystem:7986|gold.ecosystem:7987
Environmental > Aquatic > Artesian spring	Environmental	Aquatic	Artesian spring			Artesian spring	3	3	1	0	0	1	gold.ecosystem:7660|gold.ecosystem:7661|gold.ecosystem:7662
Environmental > Aquatic > Deep subsurface > Groundwater > Coalbed methane well water	Environmental	Aquatic	Deep subsurface	Groundwater	Coalbed methane well water	Coalbed methane well water	5	1	1	0	0	1	gold.ecosystem:5963
Environmental > Aquatic > Deep subsurface > Groundwater > Contaminated	Environmental	Aquatic	Deep subsurface	Groundwater	Contaminated	Contaminated	5	1	1	0	0	1	gold.ecosystem:5955
Environmental > Aquatic > Deep subsurface > Groundwater > Saline spring sediment	Environmental	Aquatic	Deep subsurface	Groundwater	Saline spring sediment	Saline spring sediment	5	1	1	0	0	1	gold.ecosystem:7985
Environmental > Aquatic > Deep subsurface > Groundwater > Spring sediment	Environmental	Aquatic	Deep subsurface	Groundwater	Spring sediment	Spring sediment	5	1	1	0	0	1	gold.ecosystem:5962
Environmental > Aquatic > Deep subsurface > Groundwater > Well	Environmental	Aquatic	Deep subsurface	Groundwater	Well	Well	5	1	1	0	0	1	gold.ecosystem:8262
Environmental > Aquatic > Deep subsurface > Groundwater > Well sediment	Environmental	Aquatic	Deep subsurface	Groundwater	Well sediment	Well sediment	5	1	1	0	0	1	gold.ecosystem:5959
Environmental > Aquatic > Freshwater > Creek > Microbial mat	Environmental	Aquatic	Freshwater	Creek	Microbial mat	Microbial mat	5	1	1	0	0	1	gold.ecosystem:7938
Environmental > Aquatic > Freshwater > Drinking water > Chlorinated	Environmental	Aquatic	Freshwater	Drinking water	Chlorinated	Chlorinated	5	1	1	0	0	1	gold.ecosystem:4059
Environmental > Aquatic > Freshwater > Drinking water > Filtered water	Environmental	Aquatic	Freshwater	Drinking water	Filtered water	Filtered water	5	1	1	0	0	1	gold.ecosystem:5122
Environmental > Aquatic > Freshwater > Glacier	Environmental	Aquatic	Freshwater	Glacier		Glacier	4	2	1	0	0	1	gold.ecosystem:7295|gold.ecosystem:8503
Environmental > Aquatic > Freshwater > Glacier > Meltwater	Environmental	Aquatic	Freshwater	Glacier	Meltwater	Meltwater	5	1	1	0	0	1	gold.ecosystem:7297
Environmental > Aquatic > Freshwater > Ice > Ice accretions	Environmental	Aquatic	Freshwater	Ice	Ice accretions	Ice accretions	5	1	1	0	0	1	gold.ecosystem:4062
Environmental > Aquatic > Freshwater > Lake > Cyanobacterial bloom	Environmental	Aquatic	Freshwater	Lake	Cyanobacterial bloom	Cyanobacterial bloom	5	1	1	0	0	1	gold.ecosystem:5356
Environmental > Aquatic > Freshwater > Lake > Littoral zone	Environmental	Aquatic	Freshwater	Lake	Littoral zone	Littoral zone	5	1	1	0	0	1	gold.ecosystem:7877
Environmental > Aquatic > Freshwater > Lentic > Limnetic zone	Environmental	Aquatic	Freshwater	Lentic	Limnetic zone	Limnetic zone	5	1	1	0	0	1	gold.ecosystem:4176
Environmental > Aquatic > Freshwater > River > Microbial mats	Environmental	Aquatic	Freshwater	River	Microbial mats	Microbial mats	5	1	1	0	0	1	gold.ecosystem:5347
Environmental > Aquatic > Freshwater > River > Periphyton	Environmental	Aquatic	Freshwater	River	Periphyton	Periphyton	5	1	1	0	0	1	gold.ecosystem:5345
Environmental > Aquatic > Freshwater > River > River biofilm	Environmental	Aquatic	Freshwater	River	River biofilm	River biofilm	5	1	1	0	0	1	gold.ecosystem:5348
Environmental > Aquatic > Freshwater > Storm water	Environmental	Aquatic	Freshwater	Storm water		Storm water	4	2	1	0	0	1	gold.ecosystem:3797|gold.ecosystem:4189
Environmental > Aquatic > Freshwater > Wetlands > Fen	Environmental	Aquatic	Freshwater	Wetlands	Fen	Fen	5	1	1	0	0	1	gold.ecosystem:5285
Environmental > Aquatic > Freshwater > Wetlands > Soil	Environmental	Aquatic	Freshwater	Wetlands	Soil	Soil	5	1	1	0	0	1	gold.ecosystem:5376
Environmental > Aquatic > Marine > Coastal > Phytoplankton bloom	Environmental	Aquatic	Marine	Coastal	Phytoplankton bloom	Phytoplankton bloom	5	1	1	0	0	1	gold.ecosystem:5825
Environmental > Aquatic > Marine > Deep subsurface > Hydrocarbon	Environmental	Aquatic	Marine	Deep subsurface	Hydrocarbon	Hydrocarbon	5	1	1	0	0	1	gold.ecosystem:5723
Environmental > Aquatic > Marine > Deep subsurface > Rock	Environmental	Aquatic	Marine	Deep subsurface	Rock	Rock	5	1	1	0	0	1	gold.ecosystem:5370
Environmental > Aquatic > Marine > Deepwater/Brine lake > Sediment	Environmental	Aquatic	Marine	Deepwater/Brine lake	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:8053
Environmental > Aquatic > Marine > Gulf	Environmental	Aquatic	Marine	Gulf		Gulf	4	2	1	0	0	1	gold.ecosystem:4575|gold.ecosystem:4576
Environmental > Aquatic > Marine > Hadalpelagic	Environmental	Aquatic	Marine	Hadalpelagic		Hadalpelagic	4	2	1	0	0	1	gold.ecosystem:5343|gold.ecosystem:5344
Environmental > Aquatic > Marine > Intertidal zone > Oil-contaminated sediment	Environmental	Aquatic	Marine	Intertidal zone	Oil-contaminated sediment	Oil-contaminated sediment	5	1	1	0	0	1	gold.ecosystem:7144
Environmental > Aquatic > Marine > Marine basin floor > Sediment	Environmental	Aquatic	Marine	Marine basin floor	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:5353
Environmental > Aquatic > Marine > Marine lake > Sediment	Environmental	Aquatic	Marine	Marine lake	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:7937
Environmental > Aquatic > Marine > Mud volcano > Sediment	Environmental	Aquatic	Marine	Mud volcano	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:5377
Environmental > Aquatic > Marine > Neritic zone/Coastal water > Oil-contaminated sediment	Environmental	Aquatic	Marine	Neritic zone/Coastal water	Oil-contaminated sediment	Oil-contaminated sediment	5	1	1	0	0	1	gold.ecosystem:4033
Environmental > Aquatic > Marine > Neritic zone/Coastal water > Sea ice	Environmental	Aquatic	Marine	Neritic zone/Coastal water	Sea ice	Sea ice	5	1	1	0	0	1	gold.ecosystem:8060
Environmental > Aquatic > Marine > Neritic zone/Coastal water > Sediment	Environmental	Aquatic	Marine	Neritic zone/Coastal water	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:4048
Environmental > Aquatic > Marine > Ocean trench > Sediment	Environmental	Aquatic	Marine	Ocean trench	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:5390
