retired_slug	retired_identifier	retired_label	current_identifiers	resolved_by
fish-habitatmech-gold-3d529a667e	habitatmech:GOLD.3d529a667e	fish-associated environment	habitatmech:GOLD.3d529a667e	label_changed
fluid-environmental-material-envo-02000140	ENVO:02000140	fluid environmental material	habitatmech:BACDIVE.25af5eede6|habitatmech:GOLD.409867a634	source_concepts_split
fluids-habitatmech-bacdive-6add57f329	habitatmech:BACDIVE.6add57f329	Fluids	ENVO:02000019	source_concepts_merged
food-fermented-habitatmech-bacdive-2b1959f1f0	habitatmech:BACDIVE.2b1959f1f0	food_fermented	FOODON:00001258	source_concepts_merged
food-grade-textile-surface-foodon-03500045	FOODON:03500045	food-grade textile surface	ENVO:02000001	source_concepts_merged
fruit-seed-anatomical-part-foodon-03420295	FOODON:03420295	fruit seed (anatomical part)	habitatmech:BACDIVE.ba016fe448	source_concepts_merged
fungi-habitatmech-gold-a8fc5001d1	habitatmech:GOLD.a8fc5001d1	Fungi	ENVO:01001041	source_concepts_merged
fungus-foodon-03411261	FOODON:03411261	fungus	ENVO:01001041	source_concepts_merged
galls-habitatmech-gold-fa99e76de1	habitatmech:GOLD.fa99e76de1	Galls	PO:0025626	source_concepts_merged
geologic-habitatmech-bacdive-bf10ea3ae4	habitatmech:BACDIVE.bf10ea3ae4	lithic environmental material	habitatmech:BACDIVE.bf10ea3ae4	label_changed
goat-foodon-03411328	FOODON:03411328	goat	habitatmech:BACDIVE.4d3086a839	source_concepts_merged
hepatic-cecum-uberon-0012474	UBERON:0012474	hepatic cecum	habitatmech:GOLD.d89135723c	source_concepts_merged
host-animal-ectotherm-habitatmech-bacdive-e68bf42dcb	habitatmech:BACDIVE.e68bf42dcb	ectothermic-animal-associated environment	habitatmech:BACDIVE.e68bf42dcb	label_changed
host-animal-ectotherm-habitatmech-bacdive-e68bf42dcb	habitatmech:BACDIVE.e68bf42dcb	host_animal_ectotherm	habitatmech:BACDIVE.e68bf42dcb	label_changed
host-animal-endotherm-habitatmech-bacdive-3d543e6b49	habitatmech:BACDIVE.3d543e6b49	endothermic-animal-associated environment	habitatmech:BACDIVE.3d543e6b49	label_changed
host-animal-endotherm-habitatmech-bacdive-3d543e6b49	habitatmech:BACDIVE.3d543e6b49	host_animal_endotherm	habitatmech:BACDIVE.3d543e6b49	label_changed
host-animal-endotherm-intratissue-habitatmech-bacdive-319ac5f8f8	habitatmech:BACDIVE.319ac5f8f8	internal tissue environment of an endothermic animal	habitatmech:BACDIVE.319ac5f8f8	label_changed
host-animal-endotherm-intratissue-habitatmech-bacdive-319ac5f8f8	habitatmech:BACDIVE.319ac5f8f8	host_animal_endotherm_intratissue	habitatmech:BACDIVE.319ac5f8f8	label_changed
host-associated-habitatmech-gold-d3b891e82e	habitatmech:GOLD.d3b891e82e	Host-associated	ENVO:01001000	source_concepts_merged
host-habitatmech-bacdive-baf38460e6	habitatmech:BACDIVE.baf38460e6	Host	ENVO:01001000	source_concepts_merged
human-habitatmech-bacdive-c9b246fcbb	habitatmech:BACDIVE.c9b246fcbb	Human	habitatmech:GOLD.cd0b0940e5	source_concepts_merged
humidity-ncit-c88206	NCIT:C88206	Humidity	habitatmech:BACDIVE.0fa0234f43	source_concepts_merged
hyaline-habitatmech-gold-c44e436e0a	habitatmech:GOLD.c44e436e0a	Hyaline	UBERON:0001994	source_concepts_merged
inner-habitatmech-gold-14484ed1ed	habitatmech:GOLD.14484ed1ed	Inner	UBERON:0005611	source_concepts_merged
integumental-system-uberon-0002416	UBERON:0002416	integumental system	habitatmech:GOLD.bed15b95b1	source_concepts_merged
