identifier	slug
ENVO:00000086	plain
ENVO:00000090	coastal_plain
ENVO:00000091	beach
ENVO:00000094	volcanic_feature
ENVO:00000096	caldera
ENVO:00000097	desert_area
ENVO:00000098	island
ENVO:00000100	valley
ENVO:00000104	undersea_feature
ENVO:00000106	grassland_area
ENVO:00000108	meadow_ecosystem
ENVO:00000109	woodland_area
ENVO:00000110	lava_tunnel
ENVO:00000111	forested_area
ENVO:00000112	area_of_tundra
ENVO:00000114	agricultural_field
ENVO:00000115	orchard
ENVO:00000117	plantation
ENVO:00000122	track
ENVO:00000126	sulfur_spring
ENVO:00000128	dry_valley
ENVO:00000133	glacier
ENVO:00000134	permafrost
ENVO:00000138	cove
ENVO:00000140	drainage_ditch
ENVO:00000141	bank
ENVO:00000150	coral_reef
ENVO:00000151	sabkha
ENVO:00000165	asphalt_lake
ENVO:00000166	atoll
ENVO:00000167	bar
ENVO:00000169	canyon
ENVO:00000173	rocky_desert
ENVO:00000177	moraine
ENVO:00000182	plateau
ENVO:00000183	stony_desert
ENVO:00000192	mudflat
ENVO:00000195	sinkhole
ENVO:00000196	alkaline_flat
ENVO:00000199	meromictic_lake
ENVO:00000206	marine_neritic_zone
ENVO:00000207	oceanic_zone
ENVO:00000208	marine_pelagic_zone
ENVO:00000209	marine_photic_zone
ENVO:00000210	marine_aphotic_zone
ENVO:00000211	marine_bathypelagic_zone
ENVO:00000213	marine_mesopelagic_zone
ENVO:00000215	hydrothermal_vent
ENVO:00000216	fumarole
ENVO:00000217	solfatara
ENVO:00000218	black_smoker
ENVO:00000220	archipelago
ENVO:00000232	fen
ENVO:00000233	swamp_ecosystem
ENVO:00000234	bayou
ENVO:00000241	tidal_mudflat
ENVO:00000243	freshwater_wetland_ecosystem
ENVO:00000247	volcano
ENVO:00000255	flood_plain
ENVO:00000261	savanna
ENVO:00000262	steppe
ENVO:00000264	seamount
ENVO:00000266	pasture
ENVO:00000275	ocean_trench
ENVO:00000279	saline_pan
ENVO:00000283	ridge
ENVO:00000291	drainage_basin
ENVO:00000292	watershed
ENVO:00000296	rice_field
ENVO:00000297	paddy_field
ENVO:00000300	scrubland_area
ENVO:00000302	rift_valley
ENVO:00000303	sea_coast
ENVO:00000305	peninsula
ENVO:00000311	kettle
ENVO:00000316	intertidal_zone
ENVO:00000319	low_tide_zone
ENVO:00000327	speleothem
ENVO:00000328	vadose_zone
ENVO:00000329	phreatic_zone
ENVO:00000349	terrarium
ENVO:00000354	volcanic_field
ENVO:00000360	area_of_national_forest
ENVO:00000363	area_designated_as_a_nature_reserve
ENVO:00000364	national_wildlife_refuge
ENVO:00000367	iucn_national_park
ENVO:00000369	brine_pool
ENVO:00000373	geothermal_field
ENVO:00000380	ice_shelf
ENVO:00000381	massif
ENVO:00000382	lake_shore
ENVO:00000383	stream_bed
ENVO:00000384	river_bed
ENVO:00000393	sound
ENVO:00000394	strait
ENVO:00000395	channel_of_a_watercourse
ENVO:00000402	mud_volcano
ENVO:00000406	mid_ocean_ridge
ENVO:00000418	ria
ENVO:00000428	biome
ENVO:00000446	terrestrial_biome
ENVO:00000447	marine_biome
ENVO:00000455	tarn
ENVO:00000463	harbour
ENVO:00000469	research_facility
ENVO:00000475	inlet
ENVO:00000476	lake_inlet
ENVO:00000477	mount
ENVO:00000479	mouth__ec747ff2
ENVO:00000480	peak
ENVO:00000485	sea_shore
ENVO:00000486	shoreline
